zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,country
1264,PO BOX,Tyringham,Lee,,MA,Berkshire County,America/New_York,413,US
1266,STANDARD,West Stockbridge,"Alford, W Stockbridge","Interlaken, West Stockbridge Center",MA,Berkshire County,America/New_York,413,US
1267,STANDARD,Williamstown,,"Williamstn, Wmstown",MA,Berkshire County,America/New_York,413,US
1270,STANDARD,Windsor,,East Windsor,MA,Berkshire County,America/New_York,413,US
1301,STANDARD,Greenfield,Leyden,,MA,Franklin County,America/New_York,413,US
1302,PO BOX,Greenfield,,,MA,Franklin County,America/New_York,413,US
1330,STANDARD,Ashfield,,South Ashfield,MA,Franklin County,America/New_York,413,US
1331,STANDARD,Athol,Phillipston,Royalston,MA,Worcester County,America/New_York,978,US
1337,STANDARD,Bernardston,Leyden,,MA,Franklin County,America/New_York,413,US
1338,STANDARD,Buckland,,,MA,Franklin County,America/New_York,413,US
1339,STANDARD,Charlemont,Hawley,West Hawley,MA,Franklin County,America/New_York,413,US
1340,STANDARD,Colrain,Shattuckville,,MA,Franklin County,America/New_York,413,US
1341,STANDARD,Conway,,,MA,Franklin County,America/New_York,413,US
1342,STANDARD,Deerfield,,"East Deerfield, West Deerfield",MA,Franklin County,America/New_York,413,US
1343,STANDARD,Drury,,Charlemont,MA,Berkshire County,America/New_York,413,US
1344,STANDARD,Erving,,"Farley, Stoneville",MA,Franklin County,America/New_York,"413,978",US
1346,STANDARD,Heath,Charlemont,,MA,Franklin County,America/New_York,413,US
1347,PO BOX,Lake Pleasant,,,MA,Franklin County,America/New_York,413,US
1349,STANDARD,Millers Falls,,Turners Falls,MA,Franklin County,America/New_York,413,US
1350,PO BOX,Monroe Bridge,Monroe,,MA,Franklin County,America/New_York,413,US
1351,STANDARD,Montague,,,MA,Franklin County,America/New_York,413,US
1354,STANDARD,Gill,"Mount Hermon, Mt Hermon, Northfield Mount Hermon, Northfield Mt Hermon",,MA,Franklin County,America/New_York,413,US
1355,STANDARD,New Salem,,Orange,MA,Franklin County,America/New_York,978,US
1360,STANDARD,Northfield,,"N Field, No Field",MA,Franklin County,America/New_York,413,US
1364,STANDARD,Orange,Warwick,"Blissville, Eagleville, Lake Mattawa, N Orange, New Salem, North Orange",MA,Franklin County,America/New_York,978,US
1366,STANDARD,Petersham,,,MA,Worcester County,America/New_York,978,US
1367,STANDARD,Rowe,,"Hoosac Tunnel, Zoar",MA,Franklin County,America/New_York,413,US
1368,STANDARD,Royalston,S Royalston,Athol,MA,Worcester County,America/New_York,978,US
1370,STANDARD,Shelburne Falls,Shelburne Fls,"Baptist Corner, East Charlemont, Shelburne",MA,Franklin County,America/New_York,413,US
1373,STANDARD,South Deerfield,S Deerfield,"So Deerfield, Whately",MA,Franklin County,America/New_York,413,US
1375,STANDARD,Sunderland,,,MA,Franklin County,America/New_York,413,US
1376,STANDARD,Turners Falls,,,MA,Franklin County,America/New_York,413,US
1378,STANDARD,Warwick,Orange,,MA,Franklin County,America/New_York,978,US
1379,STANDARD,Wendell,,,MA,Franklin County,America/New_York,978,US
1380,STANDARD,Wendell Depot,,,MA,Franklin County,America/New_York,,US
1420,STANDARD,Fitchburg,,,MA,Worcester County,America/New_York,"978,617",US
1430,STANDARD,Ashburnham,,South Ashburnham,MA,Worcester County,America/New_York,978,US
1431,STANDARD,Ashby,,,MA,Middlesex County,America/New_York,978,US
1432,STANDARD,Ayer,,"Devens, Fort Devens, Ft Devens",MA,Middlesex County,America/New_York,978,US
1434,STANDARD,Devens,Ayer,,MA,Worcester County,America/New_York,,US
1436,STANDARD,Baldwinville,,Otter River,MA,Worcester County,America/New_York,978,US
1438,PO BOX,East Templeton,E Templeton,,MA,Worcester County,America/New_York,978,US
1440,STANDARD,Gardner,,,MA,Worcester County,America/New_York,978,US
1441,UNIQUE,Westminster,,"Gardner, Tyco",MA,Worcester County,America/New_York,978,US
1450,STANDARD,Groton,,,MA,Middlesex County,America/New_York,978,US
1451,STANDARD,Harvard,,,MA,Worcester County,America/New_York,"978,617",US
1452,STANDARD,Hubbardston,,,MA,Worcester County,America/New_York,978,US
1453,STANDARD,Leominster,,,MA,Worcester County,America/New_York,"978,508",US
1460,STANDARD,Littleton,,Pingryville,MA,Middlesex County,America/New_York,"978,508,781",US
1462,STANDARD,Lunenburg,,,MA,Worcester County,America/New_York,978,US
1463,STANDARD,Pepperell,,"E Pepperell, East Pepperell",MA,Middlesex County,America/New_York,978,US
1464,STANDARD,Shirley,"Shirley Center, Shirley Ctr",,MA,Middlesex County,America/New_York,978,US
1467,PO BOX,Still River,,,MA,Worcester County,America/New_York,978,US
1468,STANDARD,Templeton,,,MA,Worcester County,America/New_York,978,US
1469,STANDARD,Townsend,,,MA,Middlesex County,America/New_York,978,US
1470,UNIQUE,Groton,,New England Business,MA,Middlesex County,America/New_York,351,US
1471,UNIQUE,Groton,,New England Business Svc Inc,MA,Middlesex County,America/New_York,351,US
1472,PO BOX,West Groton,,W Groton,MA,Middlesex County,America/New_York,978,US
1473,STANDARD,Westminster,,,MA,Worcester County,America/New_York,978,US
1474,STANDARD,West Townsend,"Townsend, W Townsend",,MA,Middlesex County,America/New_York,978,US
1475,STANDARD,Winchendon,,,MA,Worcester County,America/New_York,978,US
1477,PO BOX,Winchendon Springs,Winchdon Spgs,,MA,Worcester County,America/New_York,,US
1501,STANDARD,Auburn,,,MA,Worcester County,America/New_York,"508,774",US
1503,STANDARD,Berlin,,,MA,Worcester County,America/New_York,978,US
1504,STANDARD,Blackstone,,"E Blackstone, East Blackstone, Millerville",MA,Worcester County,America/New_York,"508,774",US
1505,STANDARD,Boylston,,Morningdale,MA,Worcester County,America/New_York,"508,774",US
1506,STANDARD,Brookfield,,,MA,Worcester County,America/New_York,"508,413",US
1507,STANDARD,Charlton,,,MA,Worcester County,America/New_York,"508,774",US
1508,PO BOX,Charlton City,,Richardson Corners,MA,Worcester County,America/New_York,,US
1509,PO BOX,Charlton Depot,"Charlton Dept, Charlton Dpt",,MA,Worcester County,America/New_York,,US
1510,STANDARD,Clinton,,,MA,Worcester County,America/New_York,"978,617",US
1515,STANDARD,East Brookfield,E Brookfield,,MA,Worcester County,America/New_York,"508,774",US
1516,STANDARD,Douglas,East Douglas,,MA,Worcester County,America/New_York,"508,774",US
1517,PO BOX,East Princeton,E Princeton,,MA,Worcester County,America/New_York,,US
1518,STANDARD,Fiskdale,Sturbridge,,MA,Worcester County,America/New_York,"508,774",US
1519,STANDARD,Grafton,,Hassanamisco Indian Reservat,MA,Worcester County,America/New_York,"508,774",US
1520,STANDARD,Holden,,,MA,Worcester County,America/New_York,"508,774",US
1521,STANDARD,Holland,Fiskdale,Halland,MA,Hampden County,America/New_York,"413,508",US
1522,STANDARD,Jefferson,,,MA,Worcester County,America/New_York,508,US
1523,STANDARD,Lancaster,,North Lancaster,MA,Worcester County,America/New_York,978,US
1524,STANDARD,Leicester,,,MA,Worcester County,America/New_York,"508,774",US
1525,PO BOX,Linwood,,,MA,Worcester County,America/New_York,508,US
1526,PO BOX,Manchaug,,,MA,Worcester County,America/New_York,508,US
1527,STANDARD,Millbury,,East Millbury,MA,Worcester County,America/New_York,"508,774",US
1529,STANDARD,Millville,,,MA,Worcester County,America/New_York,508,US
1531,STANDARD,New Braintree,,,MA,Worcester County,America/New_York,"413,508,774",US
1532,STANDARD,Northborough,,Northboro,MA,Worcester County,America/New_York,"508,774",US
1534,STANDARD,Northbridge,,Rockdale,MA,Worcester County,America/New_York,508,US
1535,STANDARD,North Brookfield,N Brookfield,,MA,Worcester County,America/New_York,508,US
1536,STANDARD,North Grafton,,"N Grafton, No Grafton",MA,Worcester County,America/New_York,508,US
1537,STANDARD,North Oxford,,,MA,Worcester County,America/New_York,508,US
1538,PO BOX,North Uxbridge,N Uxbridge,,MA,Worcester County,America/New_York,508,US
1540,STANDARD,Oxford,,,MA,Worcester County,America/New_York,508,US
1541,STANDARD,Princeton,,,MA,Worcester County,America/New_York,978,US
1542,STANDARD,Rochdale,,,MA,Worcester County,America/New_York,508,US
1543,STANDARD,Rutland,,,MA,Worcester County,America/New_York,"508,774",US
1545,STANDARD,Shrewsbury,,Edgemere,MA,Worcester County,America/New_York,"508,774",US
1546,UNIQUE,Shrewsbury,,Central Mass P & D Ctr,MA,Worcester County,America/New_York,508,US
1550,STANDARD,Southbridge,,"Globe Village, Sandersdale",MA,Worcester County,America/New_York,"508,774",US
1560,STANDARD,South Grafton,,Saundersville,MA,Worcester County,America/New_York,508,US
1561,PO BOX,South Lancaster,S Lancaster,So Lancaster,MA,Worcester County,America/New_York,978,US
1562,STANDARD,Spencer,,Lambs Grove,MA,Worcester County,America/New_York,"508,774",US
1564,STANDARD,Sterling,,Sterling Junction,MA,Worcester County,America/New_York,978,US
1566,STANDARD,Sturbridge,,,MA,Worcester County,America/New_York,"508,774",US
1568,STANDARD,Upton,,"W Upton, West Upton",MA,Worcester County,America/New_York,"508,774",US
1569,STANDARD,Uxbridge,,,MA,Worcester County,America/New_York,"508,774",US
1570,STANDARD,Webster,Dudley Hill,,MA,Worcester County,America/New_York,"508,617,774",US
1571,STANDARD,Dudley,,,MA,Worcester County,America/New_York,508,US
1580,UNIQUE,Westborough,,"Emc, Westboro",MA,Worcester County,America/New_York,508,US
1581,STANDARD,Westborough,,Westboro,MA,Worcester County,America/New_York,"508,617,774",US
1582,UNIQUE,Westborough,,"National Grid Co, Westboro",MA,Worcester County,America/New_York,508,US
1583,STANDARD,West Boylston,,"Oakdale, Westboylston",MA,Worcester County,America/New_York,"508,978",US
1585,STANDARD,West Brookfield,W Brookfield,Westbrookfield,MA,Worcester County,America/New_York,"508,413",US
1586,PO BOX,West Millbury,Millbury,,MA,Worcester County,America/New_York,,US
1588,STANDARD,Whitinsville,Linwood,,MA,Worcester County,America/New_York,"508,774",US
1590,STANDARD,Sutton,"Wilkinsonvile, Wilkinsonville",,MA,Worcester County,America/New_York,508,US
1601,PO BOX,Worcester,,,MA,Worcester County,America/New_York,508,US
1602,STANDARD,Worcester,,West Side,MA,Worcester County,America/New_York,508,US
1603,STANDARD,Worcester,,Webster Square,MA,Worcester County,America/New_York,508,US
1604,STANDARD,Worcester,,,MA,Worcester County,America/New_York,508,US
1605,STANDARD,Worcester,,,MA,Worcester County,America/New_York,508,US
1606,STANDARD,Worcester,,Greendale,MA,Worcester County,America/New_York,508,US
1607,STANDARD,Worcester,,,MA,Worcester County,America/New_York,508,US
1608,STANDARD,Worcester,,,MA,Worcester County,America/New_York,"508,774,978",US
1609,STANDARD,Worcester,,,MA,Worcester County,America/New_York,"508,774,978",US
1610,STANDARD,Worcester,,,MA,Worcester County,America/New_York,"508,774",US
1611,STANDARD,Cherry Valley,,,MA,Worcester County,America/New_York,508,US
1612,STANDARD,Paxton,Worcester,,MA,Worcester County,America/New_York,508,US
1613,PO BOX,Worcester,,,MA,Worcester County,America/New_York,508,US
1614,PO BOX,Worcester,,,MA,Worcester County,America/New_York,508,US
1615,PO BOX,Worcester,,,MA,Worcester County,America/New_York,508,US
1653,UNIQUE,Worcester,,Allmerica,MA,Worcester County,America/New_York,508,US
1654,UNIQUE,Worcester,,Verizon,MA,Worcester County,America/New_York,508,US
1655,STANDARD,Worcester,,,MA,Worcester County,America/New_York,508,US
1701,STANDARD,Framingham,,"Framingham Center, Framingham So, Saxonville",MA,Middlesex County,America/New_York,"508,617,774,781,978",US
1702,STANDARD,Framingham,,,MA,Middlesex County,America/New_York,508,US
1703,PO BOX,Framingham,,,MA,Middlesex County,America/New_York,508,US
1704,PO BOX,Framingham,,,MA,Middlesex County,America/New_York,508,US
1705,PO BOX,Framingham,,,MA,Middlesex County,America/New_York,508,US
1718,STANDARD,Village Of Nagog Woods,"Acton, Vlg Nagog Wds",Vlg Of Nagog Woods,MA,Middlesex County,America/New_York,978,US
1719,STANDARD,Boxborough,"Acton, Boxboro",,MA,Middlesex County,America/New_York,978,US
1720,STANDARD,Acton,,"W Acton, West Acton",MA,Middlesex County,America/New_York,"978,508,617,781",US
1721,STANDARD,Ashland,,,MA,Middlesex County,America/New_York,"508,617",US
1730,STANDARD,Bedford,,,MA,Middlesex County,America/New_York,781,US
1731,STANDARD,Hanscom Afb,Bedford,,MA,Middlesex County,America/New_York,781,US
1740,STANDARD,Bolton,,,MA,Worcester County,America/New_York,978,US
1741,STANDARD,Carlisle,,,MA,Middlesex County,America/New_York,978,US
1742,STANDARD,Concord,,"W Concord, West Concord",MA,Middlesex County,America/New_York,"508,978",US
1745,STANDARD,Fayville,Southborough,Southboro,MA,Worcester County,America/New_York,508,US
1746,STANDARD,Holliston,,,MA,Middlesex County,America/New_York,"508,774",US
1747,STANDARD,Hopedale,,,MA,Worcester County,America/New_York,508,US
1748,STANDARD,Hopkinton,,,MA,Middlesex County,America/New_York,"508,774",US
1749,STANDARD,Hudson,,,MA,Middlesex County,America/New_York,"508,978",US
1752,STANDARD,Marlborough,,Marlboro,MA,Middlesex County,America/New_York,"508,978,774",US
1754,STANDARD,Maynard,,,MA,Middlesex County,America/New_York,978,US
1756,STANDARD,Mendon,,,MA,Worcester County,America/New_York,508,US
1757,STANDARD,Milford,,,MA,Worcester County,America/New_York,"508,617,774",US
1760,STANDARD,Natick,,"N Natick, No Natick, North Natick, S Natick, So Natick, South Natick",MA,Middlesex County,America/New_York,"508,617",US
1770,STANDARD,Sherborn,,,MA,Middlesex County,America/New_York,508,US
1772,STANDARD,Southborough,,Southboro,MA,Worcester County,America/New_York,"508,978",US
1773,STANDARD,Lincoln,,Lincoln Center,MA,Middlesex County,America/New_York,"978,781",US
1775,STANDARD,Stow,,,MA,Middlesex County,America/New_York,978,US
1776,STANDARD,Sudbury,,"N Sudbury, North Sudbury",MA,Middlesex County,America/New_York,"508,978",US
1778,STANDARD,Wayland,,Cochituate,MA,Middlesex County,America/New_York,"508,978",US
1784,PO BOX,Woodville,,,MA,Middlesex County,America/New_York,,US
1801,STANDARD,Woburn,,,MA,Middlesex County,America/New_York,"508,781,978,339,617",US
1803,STANDARD,Burlington,,,MA,Middlesex County,America/New_York,"617,781,508,978,339",US
1805,UNIQUE,Burlington,,Lahey Clinic Med Ctr,MA,Middlesex County,America/New_York,781,US
1806,UNIQUE,Woburn,At&t,,MA,Middlesex County,America/New_York,339,US
1807,UNIQUE,Woburn,,National Grid,MA,Middlesex County,America/New_York,339,US
1808,UNIQUE,Woburn,,At&t,MA,Middlesex County,America/New_York,339,US
1810,STANDARD,Andover,,,MA,Essex County,America/New_York,"978,617,781",US
1812,UNIQUE,Andover,,Internal Revenue Service,MA,Essex County,America/New_York,351,US
1813,UNIQUE,Woburn,,Mellon Financial Services,MA,Middlesex County,America/New_York,339,US
1815,UNIQUE,Woburn,,Bank Of America,MA,Middlesex County,America/New_York,339,US
1821,STANDARD,Billerica,,,MA,Middlesex County,America/New_York,"617,978",US
1822,PO BOX,Billerica,,,MA,Middlesex County,America/New_York,351,US
1824,STANDARD,Chelmsford,"Kates Corner, S Chelmsford",,MA,Middlesex County,America/New_York,978,US
1826,STANDARD,Dracut,,,MA,Middlesex County,America/New_York,"978,617",US
1827,STANDARD,Dunstable,,,MA,Middlesex County,America/New_York,"978,617",US
1830,STANDARD,Haverhill,,,MA,Essex County,America/New_York,978,US
1831,PO BOX,Haverhill,,,MA,Essex County,America/New_York,978,US
1832,STANDARD,Haverhill,,,MA,Essex County,America/New_York,"978,508",US
1833,STANDARD,Georgetown,Haverhill,,MA,Essex County,America/New_York,978,US
1834,STANDARD,Groveland,,,MA,Essex County,America/New_York,978,US
1835,STANDARD,Haverhill,"Bradford, Ward Hill",,MA,Essex County,America/New_York,978,US
1840,STANDARD,Lawrence,,,MA,Essex County,America/New_York,978,US
1841,STANDARD,Lawrence,,,MA,Essex County,America/New_York,"978,508",US
1842,PO BOX,Lawrence,,,MA,Essex County,America/New_York,351,US
1843,STANDARD,Lawrence,,"S Lawrence, South Lawrence",MA,Essex County,America/New_York,"978,508",US
1844,STANDARD,Methuen,,,MA,Essex County,America/New_York,"781,978",US
1845,STANDARD,North Andover,,N Andover,MA,Essex County,America/New_York,978,US
1850,STANDARD,Lowell,,,MA,Middlesex County,America/New_York,978,US
1851,STANDARD,Lowell,,,MA,Middlesex County,America/New_York,"508,978,617",US
1852,STANDARD,Lowell,,,MA,Middlesex County,America/New_York,"508,978",US
1853,PO BOX,Lowell,,,MA,Middlesex County,America/New_York,351,US
1854,STANDARD,Lowell,,,MA,Middlesex County,America/New_York,978,US
1860,STANDARD,Merrimac,,,MA,Essex County,America/New_York,978,US
1862,STANDARD,North Billerica,N Billerica,Billerica,MA,Middlesex County,America/New_York,"978,617,508",US
1863,STANDARD,North Chelmsford,N Chelmsford,,MA,Middlesex County,America/New_York,"978,617",US
1864,STANDARD,North Reading,,N Reading,MA,Middlesex County,America/New_York,978,US
1865,PO BOX,Nutting Lake,,Nuttings Lake,MA,Middlesex County,America/New_York,,US
1866,PO BOX,Pinehurst,,,MA,Middlesex County,America/New_York,,US
1867,STANDARD,Reading,,,MA,Middlesex County,America/New_York,"781,617",US
1876,STANDARD,Tewksbury,,,MA,Middlesex County,America/New_York,"978,617",US
1879,STANDARD,Tyngsboro,,Tyngsborough,MA,Middlesex County,America/New_York,978,US
1880,STANDARD,Wakefield,,,MA,Middlesex County,America/New_York,"617,781,339",US
1885,PO BOX,West Boxford,,,MA,Essex County,America/New_York,,US
1886,STANDARD,Westford,,"Forge Village, Nabnasset",MA,Middlesex County,America/New_York,"978,508",US
1887,STANDARD,Wilmington,,,MA,Middlesex County,America/New_York,"508,978,781,617",US
1888,PO BOX,Woburn,,,MA,Middlesex County,America/New_York,781,US
1889,UNIQUE,North Reading,,"Massachusetts District, N Reading",MA,Middlesex County,America/New_York,351,US
1890,STANDARD,Winchester,,,MA,Middlesex County,America/New_York,"781,978,617",US
1899,UNIQUE,Andover,,Bar Coded I R S,MA,Essex County,America/New_York,351,US
1901,STANDARD,Lynn,,,MA,Essex County,America/New_York,781,US
1902,STANDARD,Lynn,,,MA,Essex County,America/New_York,"617,781,339",US
1903,PO BOX,Lynn,,,MA,Essex County,America/New_York,339,US
1904,STANDARD,Lynn,East Lynn,,MA,Essex County,America/New_York,"781,978",US
1905,STANDARD,Lynn,West Lynn,,MA,Essex County,America/New_York,"781,617,339",US
1906,STANDARD,Saugus,,,MA,Essex County,America/New_York,"617,781,978,339",US
1907,STANDARD,Swampscott,,,MA,Essex County,America/New_York,"781,978",US
1908,STANDARD,Nahant,,,MA,Essex County,America/New_York,"781,617",US
1910,UNIQUE,Lynn,,General Elec Co,MA,Essex County,America/New_York,339,US
1913,STANDARD,Amesbury,,,MA,Essex County,America/New_York,978,US
1915,STANDARD,Beverly,,Beverly Farms,MA,Essex County,America/New_York,"978,781,508",US
1921,STANDARD,Boxford,,,MA,Essex County,America/New_York,"508,978",US
1922,STANDARD,Byfield,Newbury,,MA,Essex County,America/New_York,"617,978",US
1923,STANDARD,Danvers,,,MA,Essex County,America/New_York,"978,617,351",US
1929,STANDARD,Essex,,,MA,Essex County,America/New_York,978,US
1930,STANDARD,Gloucester,,Magnolia,MA,Essex County,America/New_York,978,US
1931,PO BOX,Gloucester,,,MA,Essex County,America/New_York,351,US
1936,PO BOX,Hamilton,,,MA,Essex County,America/New_York,978,US
1937,PO BOX,Hathorne,,,MA,Essex County,America/New_York,978,US
1938,STANDARD,Ipswich,,,MA,Essex County,America/New_York,978,US
1940,STANDARD,Lynnfield,,South Lynnfield,MA,Essex County,America/New_York,781,US
1944,STANDARD,Manchester,Manchester By The Sea,,MA,Essex County,America/New_York,"978,508",US
1945,STANDARD,Marblehead,,Mhead,MA,Essex County,America/New_York,"781,617",US
1949,STANDARD,Middleton,,,MA,Essex County,America/New_York,978,US
1950,STANDARD,Newburyport,,Plum Island,MA,Essex County,America/New_York,978,US
1951,STANDARD,Newbury,Newburyport,Plum Island,MA,Essex County,America/New_York,978,US
1952,STANDARD,Salisbury,"Salisbury Bch, Salisbury Beach",,MA,Essex County,America/New_York,978,US
1960,STANDARD,Peabody,,West Peabody,MA,Essex County,America/New_York,"978,508,617",US
1961,PO BOX,Peabody,,,MA,Essex County,America/New_York,508,US
1965,PO BOX,Prides Crossing,Prides Crssng,,MA,Essex County,America/New_York,,US
1966,STANDARD,Rockport,,Pigeon Cove,MA,Essex County,America/New_York,"978,508",US
1969,STANDARD,Rowley,,,MA,Essex County,America/New_York,978,US
1970,STANDARD,Salem,,,MA,Essex County,America/New_York,"978,781,617",US
1971,PO BOX,Salem,,,MA,Essex County,America/New_York,351,US
1982,STANDARD,South Hamilton,S Hamilton,Hamilton,MA,Essex County,America/New_York,"508,617,978",US
1983,STANDARD,Topsfield,,,MA,Essex County,America/New_York,978,US
1984,STANDARD,Wenham,,,MA,Essex County,America/New_York,978,US
1985,STANDARD,West Newbury,,,MA,Essex County,America/New_York,978,US
2018,PO BOX,Accord,Hingham,Norwell,MA,Plymouth County,America/New_York,,US
2019,STANDARD,Bellingham,,,MA,Norfolk County,America/New_York,"508,774",US
2020,PO BOX,Brant Rock,,Marshfield,MA,Plymouth County,America/New_York,,US
2021,STANDARD,Canton,,,MA,Norfolk County,America/New_York,"781,617,339",US
2025,STANDARD,Cohasset,,,MA,Norfolk County,America/New_York,"781,617,339",US
2026,STANDARD,Dedham,,,MA,Norfolk County,America/New_York,"617,781",US
2027,PO BOX,Dedham,,,MA,Norfolk County,America/New_York,339,US
2030,STANDARD,Dover,,,MA,Norfolk County,America/New_York,"508,781,774",US
2031,STANDARD,East Mansfield,"Mansfield, E Mansfield",,MA,Bristol County,America/New_York,508,US
2032,STANDARD,East Walpole,,"E Walpole, Walpole",MA,Norfolk County,America/New_York,"508,774,339,781",US
2035,STANDARD,Foxboro,Foxborough,,MA,Norfolk County,America/New_York,"508,781,774",US
2038,STANDARD,Franklin,,,MA,Norfolk County,America/New_York,"508,774",US
2040,PO BOX,Greenbush,Scituate,,MA,Plymouth County,America/New_York,,US
2041,PO BOX,Green Harbor,,Marshfield,MA,Plymouth County,America/New_York,781,US
2043,STANDARD,Hingham,,Accord,MA,Plymouth County,America/New_York,"617,781,339",US
2044,UNIQUE,Hingham,,Shared Firm Zip Code,MA,Plymouth County,America/New_York,339,US
2045,STANDARD,Hull,,Nantasket Beach,MA,Plymouth County,America/New_York,781,US
2047,PO BOX,Humarock,,Marshfield,MA,Plymouth County,America/New_York,781,US
2048,STANDARD,Mansfield,,,MA,Bristol County,America/New_York,"508,978,781,774",US
2050,STANDARD,Marshfield,,,MA,Plymouth County,America/New_York,"781,339",US
2051,PO BOX,Marshfield Hills,Marshfld Hls,Marshfield,MA,Plymouth County,America/New_York,,US
2052,STANDARD,Medfield,,,MA,Norfolk County,America/New_York,"508,617,774",US
2053,STANDARD,Medway,,,MA,Norfolk County,America/New_York,"508,774",US
2054,STANDARD,Millis,,,MA,Norfolk County,America/New_York,"508,781,774",US
2055,PO BOX,Minot,Scituate,,MA,Plymouth County,America/New_York,,US
2056,STANDARD,Norfolk,,,MA,Norfolk County,America/New_York,508,US
2059,PO BOX,North Marshfield,N Marshfield,Marshfield,MA,Plymouth County,America/New_York,,US
2060,PO BOX,North Scituate,"N Scituate, Scituate",,MA,Plymouth County,America/New_York,,US
2061,STANDARD,Norwell,,,MA,Plymouth County,America/New_York,"781,339",US
2062,STANDARD,Norwood,,,MA,Norfolk County,America/New_York,"617,781,508",US
2065,PO BOX,Ocean Bluff,Marshfield,,MA,Plymouth County,America/New_York,,US
2066,STANDARD,Scituate,,"Scituate Center, Scituate Harbor",MA,Plymouth County,America/New_York,"617,781,339",US
2067,STANDARD,Sharon,,,MA,Norfolk County,America/New_York,"781,339",US
2070,PO BOX,Sheldonville,,Wrentham,MA,Norfolk County,America/New_York,,US
2071,STANDARD,South Walpole,,"S Walpole, Walpole",MA,Norfolk County,America/New_York,"508,774",US
2072,STANDARD,Stoughton,,,MA,Norfolk County,America/New_York,"508,781,617",US
2081,STANDARD,Walpole,,,MA,Norfolk County,America/New_York,"508,774,781",US
2090,STANDARD,Westwood,,Islington,MA,Norfolk County,America/New_York,"781,617,339",US
2093,STANDARD,Wrentham,,,MA,Norfolk County,America/New_York,"508,774",US
2108,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,781,508,857",US
2109,STANDARD,Boston,,,MA,Suffolk County,America/New_York,617,US
2110,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,857,508,774,781,000",US
2111,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,781,978",US
2112,PO BOX,Boston,,,MA,Suffolk County,America/New_York,617,US
2113,STANDARD,Boston,,,MA,Suffolk County,America/New_York,617,US
2114,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"508,617,781,857",US
2115,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,857",US
2116,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,508,781,978",US
2117,PO BOX,Boston,,,MA,Suffolk County,America/New_York,617,US
2118,STANDARD,Boston,Roxbury,,MA,Suffolk County,America/New_York,"617,781,857",US
2119,STANDARD,Roxbury,Boston,,MA,Suffolk County,America/New_York,"508,617,978",US
2120,STANDARD,Roxbury Crossing,"Boston, Mission Hill, Roxbury, Roxbury Xing",,MA,Suffolk County,America/New_York,"617,857",US
2121,STANDARD,Dorchester,"Boston, Grove Hall",,MA,Suffolk County,America/New_York,"617,781,857",US
2122,STANDARD,Dorchester,Boston,,MA,Suffolk County,America/New_York,"617,781",US
2123,PO BOX,Boston,,,MA,Suffolk County,America/New_York,617,US
2124,STANDARD,Dorchester Center,"Boston, Dorchester, Dorchestr Ctr",,MA,Suffolk County,America/New_York,617,US
2125,STANDARD,Dorchester,"Boston, Uphams Corner",,MA,Suffolk County,America/New_York,"617,857",US
2126,STANDARD,Mattapan,Boston,Hyde Park,MA,Suffolk County,America/New_York,617,US
2127,STANDARD,Boston,South Boston,S Boston,MA,Suffolk County,America/New_York,"508,617,774,781,857",US
2128,STANDARD,Boston,East Boston,E Boston,MA,Suffolk County,America/New_York,"617,857",US
2129,STANDARD,Charlestown,Boston,,MA,Suffolk County,America/New_York,"617,781,857",US
2130,STANDARD,Jamaica Plain,Boston,,MA,Suffolk County,America/New_York,"617,857",US
2131,STANDARD,Roslindale,Boston,,MA,Suffolk County,America/New_York,617,US
2132,STANDARD,West Roxbury,Boston,W Roxbury,MA,Suffolk County,America/New_York,"617,781",US
2133,STANDARD,Boston,,,MA,Suffolk County,America/New_York,"617,508,781,857,978",US
2134,STANDARD,Allston,Boston,,MA,Suffolk County,America/New_York,617,US
2135,STANDARD,Brighton,Boston,,MA,Suffolk County,America/New_York,"617,857",US
2136,STANDARD,Hyde Park,"Boston, Readville",,MA,Suffolk County,America/New_York,"617,857",US
2137,PO BOX,Readville,"Boston, Hyde Park",,MA,Suffolk County,America/New_York,,US
2138,STANDARD,Cambridge,,,MA,Middlesex County,America/New_York,"617,978,857",US
2139,STANDARD,Cambridge,,"Cambridgeport, Inman Square",MA,Middlesex County,America/New_York,"617,781,978,857,339",US
2140,STANDARD,Cambridge,"N Cambridge, North Cambridge",Porter Square,MA,Middlesex County,America/New_York,"617,781,978",US
2141,STANDARD,Cambridge,"E Cambridge, East Cambridge",,MA,Middlesex County,America/New_York,"508,617,978,781,339",US
2142,STANDARD,Cambridge,,Kendall Square,MA,Middlesex County,America/New_York,"617,781,508,857,978",US
2143,STANDARD,Somerville,,"E Somerville, East Somerville",MA,Middlesex County,America/New_York,617,US
2144,STANDARD,Somerville,"W Somerville, West Somerville",,MA,Middlesex County,America/New_York,"617,781,857",US
2145,STANDARD,Somerville,Winter Hill,,MA,Middlesex County,America/New_York,"617,781,857",US
2148,STANDARD,Malden,,,MA,Middlesex County,America/New_York,"617,781,339,857",US
